date,state,industry,employed_thousands
2007Q3,Victoria,"Professional, Scientific and Technical Services",212.08484684
2007Q4,New South Wales,Accommodation and Food Services,155.80043077
2007Q4,New South Wales,Construction,285.03540158
2007Q4,New South Wales,Education and Training,234.69548438
2007Q4,New South Wales,Health Care and Social Assistance,364.31088661
2007Q4,New South Wales,Manufacturing,317.70196562
2007Q4,New South Wales,"Professional, Scientific and Technical Services",244.29680905
2007Q4,Queensland,Accommodation and Food Services,125.7964491
2007Q4,Queensland,Construction,235.86052307
2007Q4,Queensland,Education and Training,161.71396088999998
2007Q4,Queensland,Health Care and Social Assistance,213.20543678
2007Q4,Queensland,Manufacturing,183.98804637
2007Q4,Queensland,"Professional, Scientific and Technical Services",142.26550187
2007Q4,Victoria,Accommodation and Food Services,135.32201683
2007Q4,Victoria,Construction,212.50214318
2007Q4,Victoria,Education and Training,206.70382225999998
2007Q4,Victoria,Health Care and Social Assistance,263.75528046
2007Q4,Victoria,Manufacturing,319.08561661
2007Q4,Victoria,"Professional, Scientific and Technical Services",212.8880298
2008Q1,New South Wales,Accommodation and Food Services,181.02365436
2008Q1,New South Wales,Construction,303.33356422
2008Q1,New South Wales,Education and Training,234.70553013
2008Q1,New South Wales,Health Care and Social Assistance,361.52058243
2008Q1,New South Wales,Manufacturing,324.51126483
2008Q1,New South Wales,"Professional, Scientific and Technical Services",278.01840779
2008Q1,Queensland,Accommodation and Food Services,128.66336687
2008Q1,Queensland,Construction,237.8274243
2008Q1,Queensland,Education and Training,155.80006266
2008Q1,Queensland,Health Care and Social Assistance,210.45631599
2008Q1,Queensland,Manufacturing,184.95539355
2008Q1,Queensland,"Professional, Scientific and Technical Services",140.6379623
2008Q1,Victoria,Accommodation and Food Services,124.79704849
2008Q1,Victoria,Construction,228.05029747
2008Q1,Victoria,Education and Training,203.02128722
2008Q1,Victoria,Health Care and Social Assistance,281.49111119
2008Q1,Victoria,Manufacturing,326.56773395
2008Q1,Victoria,"Professional, Scientific and Technical Services",214.96566568
2008Q2,New South Wales,Accommodation and Food Services,195.98471437999999
2008Q2,New South Wales,Construction,284.6744926
2008Q2,New South Wales,Education and Training,257.74031976
2008Q2,New South Wales,Health Care and Social Assistance,357.86687878
2008Q2,New South Wales,Manufacturing,304.73135491
2008Q2,New South Wales,"Professional, Scientific and Technical Services",286.48251232
2008Q2,Queensland,Accommodation and Food Services,124.71020293
2008Q2,Queensland,Construction,237.13829829
2008Q2,Queensland,Education and Training,163.73980304
2008Q2,Queensland,Health Care and Social Assistance,217.89497859
2008Q2,Queensland,Manufacturing,195.02711345
2008Q2,Queensland,"Professional, Scientific and Technical Services",128.93274802
2008Q2,Victoria,Accommodation and Food Services,127.76059317
2008Q2,Victoria,Construction,228.75114095
2008Q2,Victoria,Education and Training,202.30790003
2008Q2,Victoria,Health Care and Social Assistance,282.18500756
2008Q2,Victoria,Manufacturing,337.15220384
2008Q2,Victoria,"Professional, Scientific and Technical Services",205.54522377
2008Q3,New South Wales,Accommodation and Food Services,179.17986113
2008Q3,New South Wales,Construction,297.57760887
2008Q3,New South Wales,Education and Training,239.74328441999998
2008Q3,New South Wales,Health Care and Social Assistance,371.91927978
2008Q3,New South Wales,Manufacturing,296.30371933
2008Q3,New South Wales,"Professional, Scientific and Technical Services",278.13398513
2008Q3,Queensland,Accommodation and Food Services,130.47051621
2008Q3,Queensland,Construction,247.6166224
2008Q3,Queensland,Education and Training,175.85885618999998
2008Q3,Queensland,Health Care and Social Assistance,200.13033382
2008Q3,Queensland,Manufacturing,198.91318866
2008Q3,Queensland,"Professional, Scientific and Technical Services",135.22470206999998
2008Q3,Victoria,Accommodation and Food Services,129.57935518
2008Q3,Victoria,Construction,213.43423113
2008Q3,Victoria,Education and Training,211.18582546999997
2008Q3,Victoria,Health Care and Social Assistance,278.01524317
2008Q3,Victoria,Manufacturing,316.83885731
2008Q3,Victoria,"Professional, Scientific and Technical Services",193.65828843
2008Q4,New South Wales,Accommodation and Food Services,183.36728314
2008Q4,New South Wales,Construction,294.95563164
2008Q4,New South Wales,Education and Training,245.02992894
2008Q4,New South Wales,Health Care and Social Assistance,356.2930155
2008Q4,New South Wales,Manufacturing,297.64111161
2008Q4,New South Wales,"Professional, Scientific and Technical Services",279.59915207
2008Q4,Queensland,Accommodation and Food Services,130.49903342
2008Q4,Queensland,Construction,246.0468137
2008Q4,Queensland,Education and Training,161.21850923
2008Q4,Queensland,Health Care and Social Assistance,211.34646376
2008Q4,Queensland,Manufacturing,188.41218393
2008Q4,Queensland,"Professional, Scientific and Technical Services",152.71707747000002
2008Q4,Victoria,Accommodation and Food Services,130.05898259
2008Q4,Victoria,Construction,223.93770961
2008Q4,Victoria,Education and Training,198.10336769
2008Q4,Victoria,Health Care and Social Assistance,286.49088886
2008Q4,Victoria,Manufacturing,305.95296281
2008Q4,Victoria,"Professional, Scientific and Technical Services",215.25617951
2009Q1,New South Wales,Accommodation and Food Services,175.94711482000002
2009Q1,New South Wales,Construction,297.25816824000003
2009Q1,New South Wales,Education and Training,227.4995847
2009Q1,New South Wales,Health Care and Social Assistance,358.49474911
2009Q1,New South Wales,Manufacturing,296.24613708
2009Q1,New South Wales,"Professional, Scientific and Technical Services",267.09519787
2009Q1,Queensland,Accommodation and Food Services,126.83755056999999
2009Q1,Queensland,Construction,242.81147399
2009Q1,Queensland,Education and Training,167.65923708
2009Q1,Queensland,Health Care and Social Assistance,244.97145324000002
2009Q1,Queensland,Manufacturing,176.51823018
2009Q1,Queensland,"Professional, Scientific and Technical Services",147.25083064
2009Q1,Victoria,Accommodation and Food Services,137.76590249
2009Q1,Victoria,Construction,226.10283266
2009Q1,Victoria,Education and Training,193.23932914
2009Q1,Victoria,Health Care and Social Assistance,296.95828561
2009Q1,Victoria,Manufacturing,315.2694781
2009Q1,Victoria,"Professional, Scientific and Technical Services",204.46128059
2009Q2,New South Wales,Accommodation and Food Services,173.29522745
2009Q2,New South Wales,Construction,296.37788112
2009Q2,New South Wales,Education and Training,233.42577196
2009Q2,New South Wales,Health Care and Social Assistance,371.36524312
2009Q2,New South Wales,Manufacturing,305.38874738
2009Q2,New South Wales,"Professional, Scientific and Technical Services",269.22694799
2009Q2,Queensland,Accommodation and Food Services,131.24408668
2009Q2,Queensland,Construction,233.25063025
2009Q2,Queensland,Education and Training,170.20863894000001
2009Q2,Queensland,Health Care and Social Assistance,253.17281183
2009Q2,Queensland,Manufacturing,182.41543744
2009Q2,Queensland,"Professional, Scientific and Technical Services",144.43748025
2009Q2,Victoria,Accommodation and Food Services,152.04750198
2009Q2,Victoria,Construction,227.25012367
2009Q2,Victoria,Education and Training,211.86311686
